binA,binB,deltaFrames,frame
28,28,1,0
28,29,1,0
28,42,1,0
28,28,2,0
28,29,2,0
28,28,1,1
28,29,1,1
29,28,1,1
29,29,1,1
42,28,1,1
42,29,1,1
28,28,2,1
28,29,2,1
29,28,2,1
29,29,2,1
42,28,2,1
42,29,2,1
28,28,1,2
28,29,1,2
29,28,1,2
29,29,1,2
28,28,2,2
29,28,2,2
28,28,1,3
29,28,1,3
28,28,2,3
29,28,2,3
28,28,1,4
28,27,2,4
28,28,2,4
28,41,2,4
28,27,1,5
28,28,1,5
28,41,1,5
28,27,2,5
28,28,2,5
28,41,2,5
27,27,1,6
27,28,1,6
27,41,1,6
28,27,1,6
28,28,1,6
28,41,1,6
41,27,1,6
41,28,1,6
41,41,1,6
27,28,2,6
28,28,2,6
41,28,2,6
27,28,1,7
28,28,1,7
41,28,1,7
27,28,2,7
27,29,2,7
28,28,2,7
28,29,2,7
41,28,2,7
41,29,2,7
28,28,1,8
28,29,1,8
28,29,2,8
28,30,2,8
28,44,2,8
28,29,1,9
28,30,1,9
28,44,1,9
29,29,1,9
29,30,1,9
29,44,1,9
28,30,2,9
28,31,2,9
28,32,2,9
29,30,2,9
29,31,2,9
29,32,2,9
29,30,1,10
29,31,1,10
29,32,1,10
30,30,1,10
30,31,1,10
30,32,1,10
44,30,1,10
44,31,1,10
44,32,1,10
29,31,2,10
29,32,2,10
30,31,2,10
30,32,2,10
44,31,2,10
44,32,2,10
30,31,1,11
30,32,1,11
31,31,1,11
31,32,1,11
32,31,1,11
32,32,1,11
30,32,2,11
30,33,2,11
30,48,2,11
31,32,2,11
31,33,2,11
31,48,2,11
32,32,2,11
32,33,2,11
32,48,2,11
31,32,1,12
31,33,1,12
31,48,1,12
32,32,1,12
32,33,1,12
32,48,1,12
31,33,2,12
32,33,2,12
32,33,1,13
33,33,1,13
48,33,1,13
32,32,2,13
32,33,2,13
33,32,2,13
33,33,2,13
48,32,2,13
48,33,2,13
33,32,1,14
33,33,1,14
33,32,2,14
32,32,1,15
33,32,1,15
32,31,2,15
33,31,2,15
32,31,1,16
32,29,2,16
32,30,2,16
32,31,2,16
31,29,1,17
31,30,1,17
31,31,1,17
31,28,2,17
31,29,2,17
29,28,1,18
29,29,1,18
30,28,1,18
30,29,1,18
31,28,1,18
31,29,1,18
29,28,2,18
30,28,2,18
31,28,2,18
28,28,1,19
29,28,1,19
28,28,2,19
29,28,2,19
28,28,1,20
28,28,2,20
28,29,2,20
28,30,2,20
28,28,1,21
28,29,1,21
28,30,1,21
28,29,2,21
28,30,2,21
28,31,2,21
28,29,1,22
28,30,1,22
28,31,1,22
29,29,1,22
29,30,1,22
29,31,1,22
30,29,1,22
30,30,1,22
30,31,1,22
28,31,2,22
28,32,2,22
28,33,2,22
29,31,2,22
29,32,2,22
29,33,2,22
30,31,2,22
30,32,2,22
30,33,2,22
29,31,1,23
29,32,1,23
29,33,1,23
30,31,1,23
30,32,1,23
30,33,1,23
31,31,1,23
31,32,1,23
31,33,1,23
29,33,2,23
29,34,2,23
29,35,2,23
30,33,2,23
30,34,2,23
30,35,2,23
31,33,2,23
31,34,2,23
31,35,2,23
31,33,1,24
31,34,1,24
31,35,1,24
32,33,1,24
32,34,1,24
32,35,1,24
33,33,1,24
33,34,1,24
33,35,1,24
31,35,2,24
31,36,2,24
31,37,2,24
32,35,2,24
32,36,2,24
32,37,2,24
33,35,2,24
33,36,2,24
33,37,2,24
33,35,1,25
33,36,1,25
33,37,1,25
34,35,1,25
34,36,1,25
34,37,1,25
35,35,1,25
35,36,1,25
35,37,1,25
33,37,2,25
34,37,2,25
35,37,2,25
35,37,1,26
36,37,1,26
37,37,1,26
35,37,2,26
35,38,2,26
35,56,2,26
36,37,2,26
36,38,2,26
36,56,2,26
37,37,2,26
37,38,2,26
37,56,2,26
37,37,1,27
37,38,1,27
37,56,1,27
37,37,2,27
37,37,1,28
38,37,1,28
56,37,1,28
37,35,2,28
37,36,2,28
37,37,2,28
38,35,2,28
38,36,2,28
38,37,2,28
56,35,2,28
56,36,2,28
56,37,2,28
37,35,1,29
37,36,1,29
37,37,1,29
37,33,2,29
37,34,2,29
37,35,2,29
35,33,1,30
35,34,1,30
35,35,1,30
36,33,1,30
36,34,1,30
36,35,1,30
37,33,1,30
37,34,1,30
37,35,1,30
35,30,2,30
35,31,2,30
35,32,2,30
36,30,2,30
36,31,2,30
36,32,2,30
37,30,2,30
37,31,2,30
37,32,2,30
33,30,1,31
33,31,1,31
33,32,1,31
34,30,1,31
34,31,1,31
34,32,1,31
35,30,1,31
35,31,1,31
35,32,1,31
33,29,2,31
33,30,2,31
33,31,2,31
34,29,2,31
34,30,2,31
34,31,2,31
35,29,2,31
35,30,2,31
35,31,2,31
30,29,1,32
30,30,1,32
30,31,1,32
31,29,1,32
31,30,1,32
31,31,1,32
32,29,1,32
32,30,1,32
32,31,1,32
